,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,3.0,29.0,1.0,2.0,1.0,1.0,1.0,
top,,,,,,,2589667328.0,1176375296.0,,1299009536.0,2154442752.0,154615808.0,2423267328.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,30.0,2.0,32.0,26.0,32.0,32.0,32.0,
mean,1.1439979672431946,0.68125,2.381927490234375,1.3547515869140625,2.054901123046875,681.25,,,34.74374999999999,,,,,,,,0.0
std,0.11136843728084211,1.2759405133266937,0.15813458536811598,0.07275438029829982,0.014623181299674286,114.82806221027917,,,0.14127872245796447,,,,,,,,0.0
min,0.5374572277069092,0.0,2.05859375,1.224609375,2.02734375,600.0,,,34.5,,,,,,,,0.0
25%,1.1533040404319763,0.0,2.3109130859375,1.3172607421875,2.047119140625,600.0,,,34.75,,,,,,,,0.0
50%,1.1599370241165161,0.0,2.400146484375,1.37158203125,2.05859375,600.0,,,34.8,,,,,,,,0.0
75%,1.1738508343696594,0.6,2.5,1.41552734375,2.0693359375,700.0,,,34.8,,,,,,,,0.0
max,1.1956686973571777,5.0,2.6201171875,1.47802734375,2.080078125,1000.0,,,34.9,,,,,,,,0.0
