,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,31.0,31.0,,2.0,31.0,1.0,5.0,1.0,1.0,1.0,
top,,,,,,,2721402880.0,1053011968.0,,1105252352.0,2115665920.0,156667904.0,2310979584.0,3182592.0,0.0,0.0,
freq,,,,,,,2.0,2.0,,31.0,2.0,32.0,11.0,32.0,32.0,32.0,
mean,10.832797884941101,0.38125,3.7318115234375,3.7993927001953125,3.1973724365234375,693.75,,,31.4875,,,,,,,,0.0
std,1.4711091029247791,0.900694176732591,0.13060405362484806,0.04775150478496866,0.05827243235452502,174.01798201483697,,,0.19468750809040541,,,,,,,,0.0
min,2.7744991779327393,0.0,3.505859375,3.728515625,3.08544921875,600.0,,,30.8,,,,,,,,0.0
25%,11.05378943681717,0.0,3.64306640625,3.765869140625,3.15478515625,600.0,,,31.4,,,,,,,,0.0
50%,11.095993399620056,0.0,3.71923828125,3.78759765625,3.205078125,600.0,,,31.5,,,,,,,,0.0
75%,11.123814940452576,0.0,3.8118896484375,3.829345703125,3.243408203125,700.0,,,31.6,,,,,,,,0.0
max,11.185949802398682,2.6,4.01171875,3.89697265625,3.28076171875,1200.0,,,31.8,,,,,,,,0.0
