,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,3.0,32.0,1.0,5.0,1.0,1.0,1.0,
top,,,,,,,2893127680.0,881307648.0,,1266356224.0,1847730176.0,156934144.0,2370813952.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,28.0,1.0,32.0,12.0,32.0,32.0,32.0,
mean,3.109966516494751,0.5249999999999999,3.4112091064453125,3.3695068359375,3.2183685302734375,687.5,,,27.359375,,,,,,,,0.0
std,0.4389482085423839,1.0080322575483704,0.34878912076088625,0.06662893868467624,0.017147007280668813,222.52219896508768,,,0.35818482794186235,,,,,,,,0.0
min,0.8016610145568848,0.0,2.966796875,3.29052734375,3.1943359375,600.0,,,26.9,,,,,,,,0.0
25%,3.1408462524414062,0.0,3.1505126953125,3.3162841796875,3.2064208984375,600.0,,,27.1,,,,,,,,0.0
50%,3.1601109504699707,0.0,3.2626953125,3.33740234375,3.2119140625,600.0,,,27.25,,,,,,,,0.0
75%,3.1724480390548706,0.0,3.67724609375,3.43798828125,3.23388671875,700.0,,,27.5,,,,,,,,0.0
max,3.7924768924713135,2.4,3.966796875,3.486328125,3.25146484375,1800.0,,,28.4,,,,,,,,0.0
