,Inference Time,CPU Usage Percent,CPU Load 1 min,CPU Load 5 min,CPU Load 15 min,CPU Freq (current),Available Memory,Used Memory,Percent Memory Used,Active Memory,Inactive Memory,Buffers,Cached,Shared Memory,Swap Used,Swap Free,Swap Percent
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,,,,,,32.0,32.0,,30.0,32.0,28.0,27.0,2.0,1.0,1.0,
top,,,,,,,2433527808.0,1340764160.0,,1068404736.0,1588559872.0,105394176.0,1454260224.0,3182592.0,0.0,0.0,
freq,,,,,,,1.0,1.0,,2.0,1.0,2.0,2.0,28.0,32.0,32.0,
mean,26.324805431067944,1.5624999999999998,3.9987640380859375,3.937957763671875,3.8848419189453125,693.75,,,38.75,,,,,,,,0.0
std,3.7822962922013743,4.578403017816189,0.22459728695307815,0.12797608669554658,0.06257712120623575,224.23705774139145,,,0.526706137080924,,,,,,,,0.0
min,6.9196741580963135,0.0,3.66796875,3.78955078125,3.8203125,600.0,,,38.4,,,,,,,,0.0
25%,26.41856551170349,0.0,3.8577880859375,3.8360595703125,3.835205078125,600.0,,,38.5,,,,,,,,0.0
50%,26.5126531124115,0.0,3.95703125,3.86376953125,3.8447265625,600.0,,,38.6,,,,,,,,0.0
75%,26.66685861349106,2.4,4.091552734375,4.068359375,3.962646484375,700.0,,,38.824999999999996,,,,,,,,0.0
max,31.902549266815186,25.6,4.53759765625,4.16015625,3.97900390625,1800.0,,,41.3,,,,,,,,0.0
